TOPICS,Question,Option A,Option B,Option C,Option D,Correct Answer
JAVA,How do you write a comment for a single line in Java?,// comment,/* comment */,<!-- comment -->,# comment,A
JAVA,Which access modifier makes a field visible in all packages?,private,public,protected,default (no modifier),B
JAVA,What is returned by Math.floor(3.9)?,3,4,3.9,0,A
JAVA,Which is NOT a valid return type in Java?,int,void,string,double,C
JAVA,Which method would you use to remove whitespace from start and end of a string?,strip(),trim(),remove(),delete(),B
JAVA,Which class is used for handling dates in Java 8?,Date,LocalDate,Calendar,DateTime,B
JAVA,What does 'static' keyword mean?,Belongs to class,Belongs to instance,Used locally,None,A
,Which collection class allows access by key-value pairs?,HashMap,ArrayList,Set,TreeSet,A
JAVA,Which is NOT a part of Java language?,bytecode,classes,pointer,interactivity,C
JAVA,Which package has Scanner class?,java.io,java.util,java.lang,java.scan,B
JAVA,How do you handle exceptions in Java?,using Error,try-catch,Finally only,throw only,B
JAVA,How to create an abstract method?,abstract void run();,void abstract run();,void run();,None,A
JAVA,What is the value of 5/2 in integer division in Java?,2.5,2,2,3,B
JAVA,Which access modifier restricts access to only subclass in another package?,protected,public,private,default,A
JAVA,Which is the correct way to specify a package?,package mypack;,Package: mypack,pack mypack;,new package mypack;,A
,,,,,,
,,,,,,
PYTHON,What is encapsulation in Python?,Bundling data & methods,Hiding info,Inheritance,Overriding methods,A
PYTHON,Which method is used as constructor in Python classes?,create,new,init,constructor,C
PYTHON,What is the parent class of all classes in Python?,object,super,base,root,A
PYTHON,How do you declare a class in Python?,class MyClass:,MyClass class:,class MyClass(),class: MyClass,A
PYTHON,What symbol is used for private variables in Python?,_ (single underscore),__ (double underscore),$,#,B
PYTHON,What is method overriding?,Redefining parent's method,Writing static methods,Overloading operator,Inheriting properties,A
PYTHON,Which method is a destructor in Python?,del,destroy,destructor(),del(),A
PYTHON,How do you define an instance variable in Python?,self.variable,variable.self,class.variable,static variable,A
PYTHON,Which keyword is used for inheritance in Python?,inherit,base,pass,class,D
PYTHON,Which is NOT a pillar of OOP in Python?,Inheritance,Encapsulation,Recursion,Polymorphism,C
PYTHON,What is method overloading in Python?,Redefining parent method,"Multiple methods same name, different parameters",Multiple classes,None of these,B
PYTHON,How do you initialize a class attribute?,Inside init,Outside any method,Using self.attribute,Inside @staticmethod,B
PYTHON,What will print(type(obj)) show where obj is an instance?,<class 'MyClass'>,<self.MyClass>,MyClass.Type,obj.Class,A
PYTHON,How do you call a superclass method in Python?,super().method(),super.method(),base.method(),ancestor.method(),A
PYTHON,What is the output: type(123)?,int,str,float,object,A
PYTHON,"In multiple inheritance, who gets priority in the method resolution order?",Left parent,Right parent,Child class,First parent in class tuple,D
PYTHON,How do you write a property in Python?,@property,@prop,property(),getset(),A
PYTHON,Which decorator makes a method static in Python?,@staticmethod,@static,@classMethod,@static_method,A
PYTHON,What is duck typing?,Type flexibly inferred,Strict types,Inherits only,None of these,A
PYTHON,When are instance variables created?,On object creation,At class definition,On method call,At program start,A
PYTHON,Which is a valid way to call a parent constructor?,super().init(),base.init(),super().constructor(),self.init(),A
PYTHON,Which is NOT true for class variables in Python?,Shared between instances,Changes reflect for all,Defined inside methods,Accessed by class name,C
PYTHON,What’s the default base class for Python classes (if none is given)?,object,base,parent,root,A
PYTHON,Of which access is a variable with a single underscore _var?,Protected,Private,Public,Global,A
PYTHON,What will type([]) == list return?,TRUE,FALSE,None,Error,A
PYTHON,Which built-in function gets the class of an object?,type(),classof(),objecttype(),super(),A
PYTHON,"What does hasattr(obj, attr) return?",True/False,Attr name,Object address,Error,A
PYTHON,How do you check if an object is an instance of a class?,"isinstance(obj, Class)",type(obj) == Class,obj instanceof Class,obj is Class,A
PYTHON,What does str method provide?,String representation,Addition,Internal variable,Returns class name,A
PYTHON,Which method is used to define addition of two class objects?,add,plus,add(),addition,A
PYTHON,How do you check class inheritance at runtime?,issubclass(),inheritor(),supercls(),isbaseof(),A
PYTHON,What will print(MyClass.bases) return?,Bases (parent) classes,Instance variables,Method names,Class functions,A
PYTHON,Which method supports object iteration?,iter,gen,for,goto,A
PYTHON,How do you define a read-only property?,No setter,Private attribute,Both getter and setter,Use constant,A
PYTHON,What is slots used for?,Restrict attributes,Dynamic class objects,Memory allocation,Protect variables,A
PYTHON,"To prevent a class from being inherited, you should",Use metaclass or mixin,Define as final,Use new,Subclass from object,A
PYTHON,What will MyClass.name return?,Class name as string,Object name,None,Module name,A
PYTHON,What is used to share among all instances?,Class variable,Instance variable,Function attribute,Constructor,A
PYTHON,Which is true for class methods in Python?,Marked with @classmethod,First parameter 'self',Only access instance,Static by default,A
PYTHON,del is called when?,Object is deleted,Program starts,Any method call,Always manually,A
PYTHON,Which is NOT a dunder method?,str,init,main,new,C
PYTHON,What does the self parameter refer to?,Current instance,Class,Parent,Superclass,A
PYTHON,What is multiple inheritance?,Subclassing from many bases,Many instances,Overriding,Multi-threading,A
PYTHON,Which of these is used to indicate static methods?,@staticmethod,@class_static,static(),None of these,A
PYTHON,How do you restrict direct access to a variable in Python?,__ before name,Use static,# before name,No way to do so,A
PYTHON,"If you define both str and repr, which is called by print()?",str,repr,main,Both,A
PYTHON,What is the main use of super()?,To call method of superclass,To define a variable,To set variable,To call a static method,A
PYTHON,When are class variables initialized?,Class definition time,instance creation,method call,Before import,A
PYTHON,How do you create a property?,@property decorator,@method decorator,Just define variable,getter method,A
PYTHON,What does call enable for an object?,Callable like function,Context mgmt,List-like behavior,Makes it iterator,A
PYTHON,What does hasattr() check?,Object has attribute,Name is valid,Method exists,Variable is class variable,A
PYTHON,"What will isinstance(True, int) return?",TRUE,FALSE,Depends,Error,A
PYTHON,Which is NOT an OOP principle?,Encapsulation,Inheritance,Abstraction,Compiling,D
PYTHON,When should you use eq?,Custom equality,Initialize object,Subclass parent,Avoid attribute access,A
PYTHON,"What is the result of isinstance(5, object)?",TRUE,FALSE,None,Error,A
PYTHON,What is the standard name for the first parameter of an instance method?,self,this,myself,obj,A
PYTHON,What does polymorphism allow?,Different objects respond diff to same message,Reuse of code,Protect variables,Dynamic memory,A
PYTHON,What is the function of init.py?,Package initialization,Class constructor,Method overloading,Class inheritance,A
PYTHON,What is difference between class and instance variables?,"Instance is per object, class is shared",None,Both are same,Variable visibility,A
PYTHON,AttributeError occurs when?,Accessing undefined attribute,Memory leak,Syntax error,When variable deleted,A
PYTHON,Which method makes your class support context management (with statement)?,enter and exit,with,init and close,in and out,A
PYTHON,To check if class B is subclass of class A:,"issubclass(B, A)","isinstance(A, B)","Based(B, A)","inbase(B, A)",A
PYTHON,What is the output of print(type(lambda x: x))?,<class 'function'>,<class 'lambda'>,<type>,<function>,A
PYTHON,"How do you make a class attribute ""constant"" in Python?",UPPERCASE variable,const keyword,static variable,Using @const,A
PYTHON,What is the use of dict?,Shows attribute dictionary,Shows methods,Prints docstring,None,A
PYTHON,What is an abstract base class in Python?,Uses abc module,Class with init,Class with no method,Static base class,A
PYTHON,Which does not create a class instance?,MyClass,MyClass(),obj = MyClass(),class MyClass:,D
PYTHON,How do you prevent attribute creation in Python?,slots,noattr,Final attribute,private keyword,A
PYTHON,What will list(MyClass.mro) return?,Method Resolution Order,Member read order,Object attributes,Parent names,A
PYTHON,Which decorator is used for a class method?,@classmethod,@class,@static_method,@staticmethod,A
PYTHON,"What does hasattr(obj, ""attr"") return if attr exists?",TRUE,FALSE,None,Value of attr,A
PYTHON,"If len is not defined, what happens?",len() raises TypeError,len returns 0,len returns -1,It still works,A
PYTHON,"What is used for ""string representation"" of object?",str,int,float,repr,A
PYTHON,Separation of interface and implementation is known as?,Abstraction,Polymorphism,Inheritance,Encapsulation,A
PYTHON,For which attribute is Python's property() used?,Managed attributes,Static attribute,Only class variable,None,A
PYTHON,How do you define a static method in a class?,@staticmethod decorator,def static method,static method(),static def method(),A
PYTHON,Which function reveals all members of an object?,dir(object),members(object),all(object),show(object),A
PYTHON,Which method is necessary for object comparison with < operator?,lt,cmp,less,ltOperator,A
PYTHON,How are dunder methods recognized?,Begin and end with __,Uppercase letters,With _ only,Do not exist,A
PYTHON,A constructor in Python can return,None only,Any value,Instance of class,Error,A
PYTHON,self in Python is,Instance reference,Class reference,Variable,Superclass reference,A
PYTHON,What is a mixin class?,Class for optional features,Base class,Utility class,Abstract class,A
PYTHON,What is multiple inheritance?,Inheriting many classes,Subclass only,Many instances,Dynamic typing,A
PYTHON,Which approach does Python use for method resolution order in multiple inheritance?,C3 linearization,Depth first,Right-to-left,Breadth first,A
PYTHON,"""isinstance"" checks",Type of object,Value,Attribute presence,Object reference,A
PYTHON,What does super() without args do?,Calls next in MRO,Calls parent class,Causes exception,Returns self,A
PYTHON,What is repr used for?,Official string representation,Constructor,Print function,Variable name,A
PYTHON,Which attribute shows the docstring of a class?,doc,docstring,docs,doc(),A
PYTHON,"To support object iteration for custom objects, implement:",iter and next,get and set,repr and str,call and end,A
PYTHON,Difference between @classmethod and @staticmethod,"classmethod gets class as first arg, staticmethod gets nothing",No difference,Both get instance,Only works on new style,A
PYTHON,What does new do?,Creates instance,Initializes variable,Destroys object,Returns class name,A
PYTHON,When is del not reliably called?,On interpreter shutdown,On every deletion,After init completes,None of the above,A
PYTHON,"""vars(object)"" returns",dict,Methods,Properties,Order of bases,A
PYTHON,How many base classes can a new-style Python class have?,Multiple,One,Unlimited,Zero,A
PYTHON,A property with only a getter is,Read-only,Write-only,Both,Dynamic,A
PYTHON,call allows objects to be...,Callable,Iterable,Stringified,Added together,A
PYTHON,What is the role of None in constructor return statement?,Ensures no return from init,Raises exception,Returns the instance,Not required,A
PYTHON,What does hasattr return for shadowed (but not missing) attributes?,TRUE,FALSE,Attribute name,Attribute value,A
,,,,,,
,,,,,,
Python OOPs,What is encapsulation in Python?,Bundling data & methods,Hiding info,Inheritance,Overriding methods,A
Python OOPs,Which method is used as constructor in Python classes?,create,new,init,constructor,C
Python OOPs,What is the parent class of all classes in Python?,object,super,base,root,A
Python OOPs,How do you declare a class in Python?,class MyClass:,MyClass class:,class MyClass(),class: MyClass,A
Python OOPs,What symbol is used for private variables in Python?,_ (single underscore),__ (double underscore),$,#,B
Python OOPs,What is method overriding?,Redefining parent's method,Writing static methods,Overloading operator,Inheriting properties,A
Python OOPs,Which method is a destructor in Python?,del,destroy,destructor(),del(),A
Python OOPs,How do you define an instance variable in Python?,self.variable,variable.self,class.variable,static variable,A
Python OOPs,Which keyword is used for inheritance in Python?,inherit,base,pass,class,D
Python OOPs,Which is NOT a pillar of OOP in Python?,Inheritance,Encapsulation,Recursion,Polymorphism,C
Python OOPs,What is method overloading in Python?,Redefining parent method,"Multiple methods same name, different parameters",Multiple classes,None of these,B
Python OOPs,How do you initialize a class attribute?,Inside init,Outside any method,Using self.attribute,Inside @staticmethod,B
Python OOPs,What will print(type(obj)) show where obj is an instance?,<class 'MyClass'>,<self.MyClass>,MyClass.Type,obj.Class,A
Python OOPs,How do you call a superclass method in Python?,super().method(),super.method(),base.method(),ancestor.method(),A
Python OOPs,What is the output: type(123)?,int,str,float,object,A
Python OOPs,"In multiple inheritance, who gets priority in the method resolution order?",Left parent,Right parent,Child class,First parent in class tuple,D
Python OOPs,How do you write a property in Python?,@property,@prop,property(),getset(),A
Python OOPs,Which decorator makes a method static in Python?,@staticmethod,@static,@classMethod,@static_method,A
Python OOPs,What is duck typing?,Type flexibly inferred,Strict types,Inherits only,None of these,A
Python OOPs,When are instance variables created?,On object creation,At class definition,On method call,At program start,A
Python OOPs,Which is a valid way to call a parent constructor?,super().init(),base.init(),super().constructor(),self.init(),A
Python OOPs,Which is NOT true for class variables in Python?,Shared between instances,Changes reflect for all,Defined inside methods,Accessed by class name,C
Python OOPs,What’s the default base class for Python classes (if none is given)?,object,base,parent,root,A
Python OOPs,Of which access is a variable with a single underscore _var?,Protected,Private,Public,Global,A
Python OOPs,What will type([]) == list return?,TRUE,FALSE,None,Error,A
Python OOPs,Which built-in function gets the class of an object?,type(),classof(),objecttype(),super(),A
Python OOPs,"What does hasattr(obj, attr) return?",True/False,Attr name,Object address,Error,A
Python OOPs,How do you check if an object is an instance of a class?,"isinstance(obj, Class)",type(obj) == Class,obj instanceof Class,obj is Class,A
Python OOPs,What does str method provide?,String representation,Addition,Internal variable,Returns class name,A
Python OOPs,Which method is used to define addition of two class objects?,add,plus,add(),addition,A
Python OOPs,How do you check class inheritance at runtime?,issubclass(),inheritor(),supercls(),isbaseof(),A
Python OOPs,What will print(MyClass.bases) return?,Bases (parent) classes,Instance variables,Method names,Class functions,A
Python OOPs,Which method supports object iteration?,iter,gen,for,goto,A
Python OOPs,How do you define a read-only property?,No setter,Private attribute,Both getter and setter,Use constant,A
Python OOPs,What is slots used for?,Restrict attributes,Dynamic class objects,Memory allocation,Protect variables,A
Python OOPs,"To prevent a class from being inherited, you should",Use metaclass or mixin,Define as final,Use new,Subclass from object,A
Python OOPs,What will MyClass.name return?,Class name as string,Object name,None,Module name,A
Python OOPs,What is used to share among all instances?,Class variable,Instance variable,Function attribute,Constructor,A
Python OOPs,Which is true for class methods in Python?,Marked with @classmethod,First parameter 'self',Only access instance,Static by default,A
Python OOPs,del is called when?,Object is deleted,Program starts,Any method call,Always manually,A
Python OOPs,Which is NOT a dunder method?,str,init,main,new,C
Python OOPs,What does the self parameter refer to?,Current instance,Class,Parent,Superclass,A
Python OOPs,What is multiple inheritance?,Subclassing from many bases,Many instances,Overriding,Multi-threading,A
Python OOPs,Which of these is used to indicate static methods?,@staticmethod,@class_static,static(),None of these,A
Python OOPs,How do you restrict direct access to a variable in Python?,__ before name,Use static,# before name,No way to do so,A
Python OOPs,"If you define both str and repr, which is called by print()?",str,repr,main,Both,A
Python OOPs,What is the main use of super()?,To call method of superclass,To define a variable,To set variable,To call a static method,A
Python OOPs,When are class variables initialized?,Class definition time,instance creation,method call,Before import,A
Python OOPs,How do you create a property?,@property decorator,@method decorator,Just define variable,getter method,A
Python OOPs,What does call enable for an object?,Callable like function,Context mgmt,List-like behavior,Makes it iterator,A
Python OOPs,What does hasattr() check?,Object has attribute,Name is valid,Method exists,Variable is class variable,A
Python OOPs,"What will isinstance(True, int) return?",TRUE,FALSE,Depends,Error,A
Python OOPs,Which is NOT an OOP principle?,Encapsulation,Inheritance,Abstraction,Compiling,D
Python OOPs,When should you use eq?,Custom equality,Initialize object,Subclass parent,Avoid attribute access,A
Python OOPs,"What is the result of isinstance(5, object)?",TRUE,FALSE,None,Error,A
Python OOPs,What is the standard name for the first parameter of an instance method?,self,this,myself,obj,A
Python OOPs,What does polymorphism allow?,Different objects respond diff to same message,Reuse of code,Protect variables,Dynamic memory,A
Python OOPs,What is the function of init.py?,Package initialization,Class constructor,Method overloading,Class inheritance,A
Python OOPs,What is difference between class and instance variables?,"Instance is per object, class is shared",None,Both are same,Variable visibility,A
Python OOPs,AttributeError occurs when?,Accessing undefined attribute,Memory leak,Syntax error,When variable deleted,A
Python OOPs,Which method makes your class support context management (with statement)?,enter and exit,with,init and close,in and out,A
Python OOPs,To check if class B is subclass of class A:,"issubclass(B, A)","isinstance(A, B)","Based(B, A)","inbase(B, A)",A
Python OOPs,What is the output of print(type(lambda x: x))?,<class 'function'>,<class 'lambda'>,<type>,<function>,A
Python OOPs,"How do you make a class attribute ""constant"" in Python?",UPPERCASE variable,const keyword,static variable,Using @const,A
Python OOPs,What is the use of dict?,Shows attribute dictionary,Shows methods,Prints docstring,None,A
Python OOPs,What is an abstract base class in Python?,Uses abc module,Class with init,Class with no method,Static base class,A
Python OOPs,Which does not create a class instance?,MyClass,MyClass(),obj = MyClass(),class MyClass:,D
Python OOPs,How do you prevent attribute creation in Python?,slots,noattr,Final attribute,private keyword,A
Python OOPs,What will list(MyClass.mro) return?,Method Resolution Order,Member read order,Object attributes,Parent names,A
Python OOPs,Which decorator is used for a class method?,@classmethod,@class,@static_method,@staticmethod,A
Python OOPs,"What does hasattr(obj, ""attr"") return if attr exists?",TRUE,FALSE,None,Value of attr,A
Python OOPs,"If len is not defined, what happens?",len() raises TypeError,len returns 0,len returns -1,It still works,A
Python OOPs,"What is used for ""string representation"" of object?",str,int,float,repr,A
Python OOPs,Separation of interface and implementation is known as?,Abstraction,Polymorphism,Inheritance,Encapsulation,A
Python OOPs,For which attribute is Python's property() used?,Managed attributes,Static attribute,Only class variable,None,A
Python OOPs,How do you define a static method in a class?,@staticmethod decorator,def static method,static method(),static def method(),A
Python OOPs,Which function reveals all members of an object?,dir(object),members(object),all(object),show(object),A
Python OOPs,Which method is necessary for object comparison with < operator?,lt,cmp,less,ltOperator,A
Python OOPs,How are dunder methods recognized?,Begin and end with __,Uppercase letters,With _ only,Do not exist,A
Python OOPs,A constructor in Python can return,None only,Any value,Instance of class,Error,A
Python OOPs,self in Python is,Instance reference,Class reference,Variable,Superclass reference,A
Python OOPs,What is a mixin class?,Class for optional features,Base class,Utility class,Abstract class,A
Python OOPs,What is multiple inheritance?,Subclassing from many bases,Subclass only,Many instances,Dynamic typing,A
Python OOPs,Which approach does Python use for method resolution order in multiple inheritance?,C3 linearization,Depth first,Right-to-left,Breadth first,A
Python OOPs,"""isinstance"" checks",Type of object,Value,Attribute presence,Object reference,A
Python OOPs,What does super() without args do?,Calls next in MRO,Calls parent class,Causes exception,Returns self,A
Python OOPs,What is repr used for?,Official string representation,Constructor,Print function,Variable name,A
Python OOPs,Which attribute shows the docstring of a class?,doc,docstring,docs,doc(),A
Python OOPs,"To support object iteration for custom objects, implement:",iter and next,get and set,repr and str,call and end,A
Python OOPs,Difference between @classmethod and @staticmethod,"classmethod gets class as first arg, staticmethod gets nothing",No difference,Both get instance,Only works on new style,A
Python OOPs,What does new do?,Creates instance,Initializes variable,Destroys object,Returns class name,A
Python OOPs,When is del not reliably called?,On interpreter shutdown,On every deletion,After init completes,None of the above,A
Python OOPs,"""vars(object)"" returns",dict,Methods,Properties,Order of bases,A
Python OOPs,How many base classes can a new-style Python class have?,Multiple,One,Unlimited,Zero,A
Python OOPs,A property with only a getter is,Read-only,Write-only,Both,Dynamic,A
Python OOPs,call allows objects to be...,Callable,Iterable,Stringified,Added together,A
Python OOPs,What is the role of None in constructor return statement?,Ensures no return from init,Raises exception,Returns the instance,Not required,A
Python OOPs,What does hasattr return for shadowed (but not missing) attributes?,TRUE,FALSE,Attribute name,Attribute value,A
,,,,,,
,,,,,,
Data structures,What data structure uses FIFO order?,Queue,Stack,Tree,Graph,A
Data structures,Which data structure works on LIFO principle?,Queue,Stack,Linked List,Array,B
Data structures,Which of the following is not a linear data structure?,Array,Stack,Queue,Graph,D
Data structures,Which data structure is best for implementing recursion?,Stack,Queue,Linked List,Tree,A
Data structures,What is the worst-case time complexity of searching in an unsorted array?,O(n),O(log n),O(1),O(n log n),A
Data structures,What operation is not possible in a queue?,enqueue,dequeue,push,peek,C
Data structures,Which data structure uses a dynamically allocated array internally to allow dynamic resizing?,ArrayList,LinkedList,HashSet,Stack,A
Data structures,How is a doubly linked list different from a singly linked list?,It has a pointer to both next and previous nodes,It uses arrays,It has no pointers,It is circular,A
Data structures,Which of the following is true about a circular linked list?,Last node points to the first node,Nodes are doubly linked,No pointers,Last node points to null,A
Data structures,"Which traversal method visits nodes in the order: root, left subtree, right subtree?",Inorder traversal,Preorder traversal,Postorder traversal,Level order traversal,B
Data structures,What is the time complexity of inserting a new element at the beginning of a linked list?,O(1),O(n),O(log n),O(n log n),A
Data structures,Which data structure is best suited for recursive function call management?,Stack,Queue,Linked List,Array,A
Data structures,What is the time complexity of delete operation in a binary search tree (BST) on average?,O(log n),O(n),O(1),O(n log n),A
Data structures,What data structure uses a key-value pair storage method?,Hash Table,Queue,Stack,Array,A
Data structures,Which of these sorting algorithms has the best average-case time complexity?,Merge sort,Bubble sort,Insertion sort,Selection sort,A
Data structures,Which structure can be used to implement function calls?,Stack,Queue,Tree,Graph,A
Data structures,Which of the following data structures is non-linear?,Graph,Array,Stack,Queue,A
Data structures,Which is the best data structure to detect cycles in a graph?,Disjoint Set,Queue,Stack,Hash Table,A
Data structures,What is the space complexity of a linked list with n nodes?,O(n),O(1),O(log n),O(n log n),A
Data structures,How are nodes connected in a graph?,Via edges,Via pointers,Via arrays,Via indexes,A
Data structures,What kind of graph has edges with no direction?,Directed graph,Undirected graph,Weighted graph,Complete graph,B
Data structures,What is a complete binary tree?,A binary tree where every level is fully filled except possibly the last,A tree with all leaf nodes,A balanced tree,A skewed tree,A
Data structures,Which traversal method is used in Breadth-first Search (BFS)?,Level order,Inorder,Preorder,Postorder,A
Data structures,What is the property of a binary search tree (BST)?,Left child < root < right child,Left child > root,All children equal,Root is always null,A
Data structures,Which of the following is NOT a queue variant?,Circular queue,Priority queue,Double-ended queue,Skip queue,D
Data structures,Which data structure does a recursive algorithm use implicitly?,Stack,Queue,Linked List,Hash Table,A
Data structures,Which linked list node pointer allows traversal in both directions?,Single pointer,Double pointer,Circular pointer,Array pointer,B
Data structures,How do you represent a graph in memory?,Adjacency list,Array,Linked list,Tree,A
Data structures,What is the height of a tree?,Max distance from root to leaf,Number of nodes,Max number of children,Number of levels,A
Data structures,Which is TRUE about heaps?,They are complete binary trees,They are always sorted,All nodes have equal values,They have zero height,A
Data structures,What is the role of a sentinel node in a linked list?,Simplify boundary conditions,Store data,Indicate end of list,Point to head,A
Data structures,What is the time complexity for searching in a balanced binary search tree?,O(log n),O(n),O(1),O(n log n),A
Data structures,Which data structure is used for undo functionality in editors?,Stack,Queue,Linked List,Array,A
Data structures,Which algorithm is used to traverse or search graph data structures level-wise?,BFS,DFS,Dijkstra's,Bellman-Ford,A
Data structures,Which queue type supports insertion and deletion from both ends?,Double-ended queue (Deque),Circular queue,Priority queue,Simple queue,A
Data structures,Which of the following stores data in key-value pairs?,Hash Map,Tree,Queue,Stack,A
Data structures,What is the traversal process for Depth First Search (DFS)?,Root to leaf down one path first,Level by level,Random visiting,Bi-directional,A
Data structures,What is a tail pointer in a linked list?,Pointer to last node,Pointer to first node,Pointer to middle node,Pointer to previous node,A
Data structures,Which of these is used to implement priority queues efficiently?,Heap,Stack,Queue,Tree,A
Data structures,What is a sentinel node’s purpose in linked lists?,It simplifies operations by eliminating special cases for head/tail,Store data,Point to next head,Track number of nodes,A
Data structures,What does the term “self-balancing” mean in trees?,Tree reorganizes itself on inserts/deletes,Tree with fixed height,Tree with a root node,Tree with balanced keys,A
Data structures,Which linked list type contains its last node pointing back to the head?,Circular linked list,Doubly linked list,Singly linked list,Skip list,A
Data structures,What is the advantage of using linked lists over arrays?,Dynamic size,Faster access,Fixed size,Memory-inefficient,A
Data structures,Which operation is time-consuming in arrays?,Insertion at end,Accessing elements,Insertion at middle,Accessing first element,C
Data structures,What does LIFO stand for in stack?,Last In First Out,Last In Fast Out,Left In First Out,Last Insert Fast Out,A
Data structures,Which structure is commonly used for implementing recursion?,Stack,Queue,Tree,Graph,A
Data structures,Which data structure is best suited for implementing priority scheduling?,Priority Queue,Queue,Stack,Linked List,A
Data structures,What kind of traversal visits nodes in ascending order for a BST?,Inorder traversal,Preorder traversal,Postorder traversal,Level order traversal,A
Data structures,What is the maximum number of nodes in a binary tree of height h?,2^(h+1) -1,2^h -1,h^2,h^3,A
Data structures,Which data structure is the most efficient for storing sparse matrices?,Linked list,Array,Hash table,Stack,A
Data structures,"Which data structure allows fast insertion, deletion but slow search?",Linked list,Array,Binary tree,Queue,A
Data structures,What is the time complexity of binary search in a sorted array?, O(n),O(log n),O(n log n),O(1),B
Data structures,Which of the following is NOT a valid tree traversal?,Level order,Random order,Preorder,Inorder,B
Data structures,What is an adjacency matrix?,A square matrix of nodes,List of edges,Tree structure,Array of lists,A
Data structures,Which is a benefit of adjacency list over adjacency matrix?,Less space when sparse,Easier to modify,Faster to traverse,None,A
Data structures,Which of the following is true about Binary Search Trees?,All left nodes are smaller than root,All right nodes are smaller than root,Only leaf nodes have children,All nodes have two children,A
Data structures,What is a skip list?,A probabilistic data structure for ordered sequences,An array of pointers,A binary tree,A hash table,A
Data structures,Which data structure supports dynamic memory allocation without the need for shifting?,Linked list,Array,Stack,Circular array,A
Data structures,What is the time complexity of accessing the middle element in linked list?,O(n),O(1),O(log n),O(n log n),A
Data structures,What is the typical use of a hash function?,Indexing in hash table,Sorting,Searching ordered list,Memory allocation,A
Data structures,Which of these structures is used to represent priority queues?,Heap,Array,Linked list,Tree,A
Data structures,Which algorithm finds the shortest path in a weighted graph?,Dijkstra’s algorithm,BFS,DFS,Prim’s algorithm,A
Data structures,Which data structure allows traversal in multiple directions?,Doubly linked list,Singly linked list,Stack,Queue,A
Data structures,In which data structure is the FIFO algorithm implemented?,Queue,Stack,Graph,Tree,A
Data structures,What feature does a self-balancing BST provide?,Guarantees O(log n) operations,Stores balanced values,Avoids duplicates,None,A
Data structures,What is the difference between a tree and a graph?,Tree has no cycles,Graph is acyclic,Both have cycles,Trees store numbers only,A
Data structures,Which of these is used for hierarchical data representation?,Trees,Arrays,Lists,Hash Tables,A
Data structures,What structure typically uses pointers for node management?,Linked list,Array,Heap,Vector,A
,,,,,,
,,,,,,
Advanced data structures,Which data structure allows fast access using a hash function?,Hash Table,Binary Tree,Linked List,Queue,A
Advanced data structures,Which tree is self-balancing?,AVL,Binary Tree,Stack,Heap,A
Advanced data structures,What is the maximum number of children in a binary heap node?,2,3,4,Unlimited,A
Advanced data structures,What is the time complexity for finding the minimum element in a min heap?,O(1),O(log n),O(n),O(n log n),A
Advanced data structures,What is a Trie commonly used for?,String searching,Sorting,Storing Integers,Arithmetic operations,A
Advanced data structures,What does the B-tree structure aim to optimize?,Disk reads,Memory allocation,CPU execution time,Network latency,A
Advanced data structures,Which of these is a priority queue implementation?,Binary Heap,Linked List,Hash Table,Stack,A
Advanced data structures,What is the worst-case height of an AVL tree with n nodes?,O(log n),O(n),O(n log n),O(1),A
Advanced data structures,Which data structure uses buckets to resolve collisions in hashing?,Separate chaining,Linear probing,Double hashing,Open addressing,A
Advanced data structures,Which of the following is used for balancing and dynamic memory in trees?,Red-Black Tree,Binary Heap,AVL Tree,B-Tree,A
Advanced data structures,What operation can be done in O(1) time on a hash table (average case)?,Search,Insert,Delete,All of the above,D
Advanced data structures,Which is NOT a balanced binary search tree?,Binary Search Tree,AVL Tree,Red-Black Tree,Splay Tree,A
Advanced data structures,What is a Fibonacci Heap primarily used for?,Network optimization,Sorting,String processing,Graphics rendering,A
Advanced data structures,Which structure supports O(1) amortized time for insert and decrease key?,Fibonacci Heap,Binary Heap,Binomial Heap,Pairing Heap,A
Advanced data structures,Which tree type is useful for database indexing?,B-tree,BST,AVL Tree,Trie,A
Advanced data structures,What property makes a Red-Black Tree balanced?,Color rules,Num children,Node height,Key order,A
Advanced data structures,What is a Skip List?,Probabilistic data structure,Balanced tree,Linked List with cycle,Heap,A
Advanced data structures,Skip lists provide expected O(log n) time complexity for which operation?,Search,Insert,Delete,All of the above,D
Advanced data structures,What is the key difference between a B-tree and a B+ tree?,All keys in leaves for B+,Keys can duplicate,Only leaves in B-tree,None of these,A
Advanced data structures,Which data structure is ideal for implementing LRU cache?,Doubly linked list + Hash map,Binary tree,Hash set,Stack,A
Advanced data structures,What is the amortized complexity of union operation in a disjoint set with path compression?,"O(?(n)), inverse Ackermann",O(log n),O(n),O(1),A
Advanced data structures,Disjoint set data structure is mainly used for which problem?,Detecting cycles in graphs,Sorting,Searching,Dynamic allocation,A
Advanced data structures,What is the time complexity for searching in a balanced B-tree of order m?,O(log n),O(m),O(n),O(m log n),A
Advanced data structures,Which is NOT true about B-Trees?,All leaves at same level,Variable keys in nodes,Self-balancing tree,Unbounded height,D
Advanced data structures,What kind of tree allows fast prefix searches?,Trie,BST,AVL Tree,Heap,A
Advanced data structures,Which heap supports efficient merge operations?,Binomial Heap,Binary Heap,Fibonacci Heap,Pairing Heap,C
